source_file,event_timestamp,calib_horizontal_ratio,calib_vertical_ratio,gaze_0_direction,gaze_1_direction,gaze_2_direction,gaze_3_direction,gaze_4_direction,gaze_5_direction,gaze_6_direction,gaze_7_direction,gaze_8_direction,gaze_9_direction,gaze_10_direction,gaze_11_direction,gaze_12_direction,gaze_13_direction,gaze_14_direction,gaze_15_direction,gaze_16_direction,gaze_17_direction,gaze_18_direction,gaze_19_direction,gaze_20_direction,gaze_21_direction,gaze_22_direction,gaze_23_direction,gaze_24_direction,gaze_25_direction,gaze_26_direction,gaze_27_direction,gaze_28_direction,gaze_29_direction,gaze_30_direction,gaze_31_direction,gaze_32_direction,gaze_33_direction,gaze_34_direction,gaze_35_direction,gaze_36_direction,gaze_37_direction,gaze_38_direction,gaze_39_direction,gaze_40_direction,gaze_41_direction,gaze_42_direction,gaze_43_direction,gaze_44_direction,gaze_45_direction,gaze_46_direction,gaze_47_direction,gaze_48_direction,label
behavior_log1.json,2025-05-21 18:07:27,,,center,center,center,center,center,center,center,center,center,center,left,left down,left down,left down,left down,left down,left down,left down,left down,left down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:07:33,,,down,center,center,center,center,center,center,center,center,center,down,left down,down,down,down,down,down,down,down,down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:07:38,,,down,down,down,down,center,center,center,center,up,center,up,up,up,up,up,up,up,up,up,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:07:41,,,up,up,up,up,up,up,center,up,center,center,down,down,down,down,down,down,down,down,down,down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:07:43,,,down,down,down,down,down,down,down,down,down,down,down,down,down,left down,left down,down,down,left down,left down,left down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:07:54,,,down,down,down,down,center,center,center,center,up,right up,right up,center,up,up,center,center,left up,left,up,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:08:01,,,center,down,down,down,down,down,down,down,center,down,down,center,center,center,down,down,center,down,down,down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:08:11,,,center,center,center,center,center,center,center,center,center,center,down,down,down,down,down,down,down,down,down,down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:09:08,,,up,center,up,center,center,center,center,center,center,center,left,left,left down,left down,left,down,left down,right up,right up,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
behavior_log1.json,2025-05-21 18:09:12,,,center,center,down,down,center,center,center,center,center,center,left down,left,left down,left down,left down,left down,left down,down,left down,left down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 18:09:14,,,left down,left,left down,left down,left down,left down,left down,down,left down,left down,left down,left down,left down,left down,left down,left down,left down,left down,left down,left down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
behavior_log1.json,2025-05-21 18:09:15,,,left down,left down,left down,left down,left down,left down,left down,left down,left down,left down,left down,left down,left down,left down,left down,left down,left down,left down,down,down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
